inventory_id,lens_type,lens_index,coating,sphere_power,cylinder_power,quantity,monthly_demand,reorder_level,source
162,Single Vision,1.61,Photochromic,-1.75,0.0,11,3,5,Inhouse
163,Single Vision,1.67,Blue Cut,-2.5,-1.25,9,11,5,Inhouse
164,Single Vision,1.61,Anti-Glare,-2.5,-1.5,6,14,5,Inhouse
165,Single Vision,1.56,Anti-Glare,-4.25,-1.0,10,7,5,Inhouse
166,Single Vision,1.74,Blue Cut,2.5,-0.75,8,4,5,Inhouse
167,Single Vision,1.67,Hard Coat,-0.5,0.0,3,6,5,Inhouse
168,Single Vision,1.67,Blue Cut,-1.75,-1.0,3,5,5,Inhouse
169,Progressive,1.74,Blue Cut,-3.0,-0.25,3,9,5,Inhouse
170,Single Vision,1.56,Hard Coat,-2.0,-3.0,6,8,5,Inhouse
171,Single Vision,1.67,Anti-Glare,-2.75,-3.0,6,7,5,Inhouse
172,Progressive,1.67,Hard Coat,-0.25,-0.5,4,6,5,Inhouse
173,Single Vision,1.56,Photochromic,-3.5,-0.75,10,7,5,Inhouse
174,Single Vision,1.67,Blue Cut,-4.75,-0.5,9,9,5,Inhouse
175,Single Vision,1.74,Hard Coat,-1.75,-0.75,11,7,5,Inhouse
176,Single Vision,1.74,Anti-Glare,-2.75,-1.75,7,9,5,Inhouse
177,Single Vision,1.74,Hard Coat,-1.5,0.0,7,10,5,Inhouse
178,Single Vision,1.61,Blue Cut,3.25,0.0,4,6,5,Inhouse
179,Progressive,1.74,Hard Coat,-3.5,-1.0,12,5,5,Inhouse
180,Single Vision,1.67,Blue Cut,1.25,-2.0,8,8,5,Inhouse
181,Single Vision,1.56,Blue Cut,-4.25,-0.25,12,9,5,Inhouse
182,Single Vision,1.67,Photochromic,-2.5,-1.5,5,4,5,Inhouse
183,Single Vision,1.67,Photochromic,-2.75,-1.5,5,2,5,Inhouse
184,Single Vision,1.67,Anti-Glare,-6.0,0.0,11,9,5,Inhouse
185,Bifocal,1.61,Photochromic,-2.0,-1.75,0,2,5,Vendor
186,Bifocal,1.74,Anti-Glare,-1.0,-0.5,6,4,5,Inhouse
187,Single Vision,1.67,Photochromic,-0.5,-1.75,10,7,5,Inhouse
188,Bifocal,1.56,Blue Cut,2.5,0.0,3,9,5,Inhouse
189,Single Vision,1.67,Anti-Glare,-2.75,-0.25,12,6,5,Inhouse
190,Single Vision,1.74,Blue Cut,-1.0,-3.5,5,12,5,Inhouse
191,Single Vision,1.74,Photochromic,-1.0,-1.75,6,10,5,Inhouse
192,Single Vision,1.74,Anti-Glare,-3.75,-0.5,2,8,5,Inhouse
193,Single Vision,1.74,Anti-Glare,-2.75,-0.75,3,12,5,Inhouse
194,Single Vision,1.56,Blue Cut,-2.75,0.0,7,7,5,Inhouse
195,Single Vision,1.61,Blue Cut,-5.0,-1.75,3,5,5,Inhouse
196,Bifocal,1.61,Anti-Glare,-0.75,-1.25,6,5,5,Inhouse
197,Bifocal,1.61,Hard Coat,-0.5,0.0,7,4,5,Inhouse
198,Progressive,1.56,Anti-Glare,-0.75,-1.25,7,7,5,Inhouse
199,Single Vision,1.74,Hard Coat,-2.25,-1.0,9,8,5,Inhouse
200,Progressive,1.74,Photochromic,-1.0,0.0,2,8,5,Inhouse
201,Single Vision,1.61,Photochromic,-2.0,0.0,7,12,5,Inhouse
202,Progressive,1.74,Photochromic,-5.5,-1.75,12,3,5,Inhouse
203,Single Vision,1.61,Anti-Glare,0.5,-1.5,9,6,5,Inhouse
204,Single Vision,1.74,Anti-Glare,0.25,-0.75,4,4,5,Inhouse
205,Single Vision,1.61,Photochromic,-4.5,0.0,0,2,5,Vendor
206,Single Vision,1.56,Anti-Glare,-0.5,0.0,5,6,5,Inhouse
207,Single Vision,1.56,Photochromic,-1.25,-0.5,9,5,5,Inhouse
208,Single Vision,1.61,Photochromic,-3.75,-1.5,5,9,5,Inhouse
209,Progressive,1.67,Photochromic,-1.25,-1.25,6,7,5,Inhouse
210,Progressive,1.74,Photochromic,-2.25,0.0,6,10,5,Inhouse
211,Progressive,1.61,Photochromic,-2.0,-1.75,0,2,5,Vendor
212,Progressive,1.74,Blue Cut,-2.25,-1.25,4,5,5,Inhouse
213,Progressive,1.61,Blue Cut,0.25,0.0,5,7,5,Inhouse
214,Single Vision,1.74,Anti-Glare,-4.75,-0.5,4,11,5,Inhouse
215,Single Vision,1.67,Photochromic,-5.0,0.0,9,9,5,Inhouse
216,Single Vision,1.56,Blue Cut,-1.25,0.0,3,15,5,Inhouse
217,Single Vision,1.61,Blue Cut,-1.25,0.0,9,7,5,Inhouse
218,Single Vision,1.67,Blue Cut,-1.0,-0.25,7,14,5,Inhouse
219,Single Vision,1.56,Anti-Glare,2.25,0.0,5,2,5,Inhouse
220,Single Vision,1.61,Anti-Glare,-1.25,-0.75,4,8,5,Inhouse
221,Bifocal,1.74,Anti-Glare,-3.5,-1.0,6,8,5,Inhouse
222,Bifocal,1.61,Hard Coat,3.5,-0.25,11,7,5,Inhouse
223,Single Vision,1.74,Photochromic,-1.75,-1.25,6,10,5,Inhouse
224,Progressive,1.67,Photochromic,0.25,-3.0,0,4,5,Vendor
225,Bifocal,1.74,Hard Coat,-4.0,-2.0,10,14,5,Inhouse
226,Progressive,1.61,Photochromic,-4.5,-1.0,3,8,5,Inhouse
227,Single Vision,1.74,Hard Coat,-2.0,-1.0,4,6,5,Inhouse
228,Single Vision,1.74,Photochromic,0.0,-1.0,12,8,5,Inhouse
229,Single Vision,1.56,Blue Cut,2.25,0.0,10,7,5,Inhouse
230,Single Vision,1.67,Photochromic,-3.5,-0.25,5,10,5,Inhouse
231,Bifocal,1.74,Anti-Glare,-2.0,-1.75,6,4,5,Inhouse
232,Single Vision,1.74,Anti-Glare,-1.5,-0.5,6,9,5,Inhouse
233,Single Vision,1.67,Photochromic,-1.5,-0.75,3,7,5,Inhouse
234,Single Vision,1.74,Hard Coat,-1.75,-0.5,12,9,5,Inhouse
235,Single Vision,1.74,Blue Cut,-1.5,-1.25,2,6,5,Inhouse
236,Single Vision,1.74,Anti-Glare,1.25,-3.5,9,8,5,Inhouse
237,Single Vision,1.74,Anti-Glare,1.0,-2.75,11,15,5,Inhouse
238,Single Vision,1.56,Photochromic,-1.0,-1.0,2,2,5,Inhouse
239,Bifocal,1.56,Hard Coat,-4.25,-1.5,9,5,5,Inhouse
240,Single Vision,1.74,Anti-Glare,-2.25,-0.75,0,2,5,Vendor
241,Single Vision,1.74,Anti-Glare,0.25,0.0,4,6,5,Inhouse
242,Single Vision,1.56,Blue Cut,-3.0,-1.5,4,9,5,Inhouse
243,Single Vision,1.74,Blue Cut,-2.5,-0.25,12,10,5,Inhouse
244,Single Vision,1.61,Photochromic,-2.25,-1.0,5,2,5,Inhouse
245,Single Vision,1.67,Blue Cut,0.0,-0.25,2,8,5,Inhouse
246,Progressive,1.74,Blue Cut,1.75,-1.75,8,5,5,Inhouse
247,Single Vision,1.74,Blue Cut,-0.25,-1.0,7,3,5,Inhouse
248,Single Vision,1.56,Photochromic,-4.75,0.0,7,11,5,Inhouse
249,Progressive,1.56,Hard Coat,-2.5,0.0,9,6,5,Inhouse
250,Single Vision,1.67,Anti-Glare,1.25,-2.5,5,4,5,Inhouse
251,Single Vision,1.56,Hard Coat,-4.0,0.0,9,6,5,Inhouse
252,Single Vision,1.56,Anti-Glare,-5.0,-1.25,10,6,5,Inhouse
253,Bifocal,1.61,Hard Coat,-2.5,-0.25,12,3,5,Inhouse
254,Progressive,1.61,Anti-Glare,0.5,-0.75,12,7,5,Inhouse
255,Progressive,1.61,Photochromic,-2.25,-0.75,6,5,5,Inhouse
256,Single Vision,1.56,Anti-Glare,2.75,0.0,3,8,5,Inhouse
257,Single Vision,1.74,Blue Cut,-1.25,-1.0,8,9,5,Inhouse
258,Bifocal,1.67,Anti-Glare,-4.0,-0.75,2,5,5,Inhouse
259,Single Vision,1.56,Anti-Glare,-1.0,-1.75,8,8,5,Inhouse
260,Single Vision,1.67,Hard Coat,2.5,0.0,11,8,5,Inhouse
261,Progressive,1.56,Blue Cut,-1.0,0.0,4,5,5,Inhouse
262,Single Vision,1.74,Photochromic,-3.5,-0.25,10,13,5,Inhouse
263,Bifocal,1.61,Hard Coat,-5.25,-2.0,0,1,5,Vendor
264,Single Vision,1.61,Hard Coat,-2.25,-0.5,3,7,5,Inhouse
265,Single Vision,1.67,Hard Coat,-2.75,-2.25,9,11,5,Inhouse
266,Single Vision,1.56,Blue Cut,1.25,-1.75,8,5,5,Inhouse
267,Single Vision,1.74,Blue Cut,-3.5,0.0,9,9,5,Inhouse
268,Single Vision,1.56,Blue Cut,-1.25,-0.5,9,7,5,Inhouse
269,Single Vision,1.56,Photochromic,-2.75,-0.75,9,6,5,Inhouse
270,Single Vision,1.74,Hard Coat,-5.0,0.0,7,9,5,Inhouse
271,Progressive,1.74,Blue Cut,-1.5,0.0,2,11,5,Inhouse
272,Progressive,1.74,Anti-Glare,-0.25,0.0,0,4,5,Vendor
273,Single Vision,1.74,Photochromic,-1.75,-0.25,5,7,5,Inhouse
274,Single Vision,1.67,Blue Cut,0.75,-0.75,8,7,5,Inhouse
275,Progressive,1.61,Hard Coat,-0.5,0.0,10,8,5,Inhouse
276,Single Vision,1.67,Photochromic,-2.5,0.0,11,4,5,Inhouse
277,Single Vision,1.61,Photochromic,-0.75,-0.5,6,3,5,Inhouse
278,Single Vision,1.74,Blue Cut,0.25,-0.5,5,6,5,Inhouse
279,Single Vision,1.56,Photochromic,-3.75,0.0,3,6,5,Inhouse
280,Bifocal,1.67,Anti-Glare,0.75,-0.75,5,8,5,Inhouse
281,Progressive,1.74,Anti-Glare,0.5,-1.25,12,5,5,Inhouse
282,Single Vision,1.67,Blue Cut,-4.25,-0.25,6,7,5,Inhouse
283,Single Vision,1.67,Blue Cut,-1.0,-1.25,8,9,5,Inhouse
284,Single Vision,1.67,Hard Coat,-2.0,-0.5,9,6,5,Inhouse
285,Single Vision,1.61,Hard Coat,1.5,-0.5,7,12,5,Inhouse
286,Single Vision,1.61,Photochromic,0.25,-0.5,4,8,5,Inhouse
287,Single Vision,1.74,Anti-Glare,-1.25,0.0,12,5,5,Inhouse
288,Bifocal,1.74,Photochromic,1.0,-1.5,12,6,5,Inhouse
289,Single Vision,1.74,Hard Coat,3.0,-1.0,8,4,5,Inhouse
290,Progressive,1.56,Blue Cut,-4.75,-2.5,0,5,5,Vendor
291,Progressive,1.61,Photochromic,-2.25,-1.0,11,4,5,Inhouse
292,Single Vision,1.61,Blue Cut,-3.5,-1.75,0,4,5,Vendor
293,Single Vision,1.67,Photochromic,-1.5,-0.5,3,11,5,Inhouse
294,Single Vision,1.67,Photochromic,-3.75,0.0,10,10,5,Inhouse
295,Bifocal,1.67,Blue Cut,0.5,-1.0,6,9,5,Inhouse
296,Bifocal,1.74,Blue Cut,3.0,-1.5,6,4,5,Inhouse
297,Single Vision,1.67,Blue Cut,-1.25,-0.25,12,13,5,Inhouse
298,Single Vision,1.61,Hard Coat,-4.75,-0.75,7,7,5,Inhouse
299,Single Vision,1.61,Blue Cut,-2.75,-1.25,10,12,5,Inhouse
300,Progressive,1.56,Anti-Glare,-2.5,-1.0,12,5,5,Inhouse
301,Bifocal,1.61,Anti-Glare,1.25,-1.25,10,5,5,Inhouse
302,Single Vision,1.74,Blue Cut,-0.75,-1.25,11,4,5,Inhouse
303,Single Vision,1.67,Hard Coat,-1.0,-2.25,3,9,5,Inhouse
304,Single Vision,1.61,Blue Cut,-3.25,-0.5,0,1,5,Vendor
305,Progressive,1.61,Blue Cut,-2.75,-1.25,4,8,5,Inhouse
306,Progressive,1.61,Blue Cut,-0.5,0.0,12,7,5,Inhouse
307,Single Vision,1.56,Anti-Glare,-1.75,-1.5,10,12,5,Inhouse
308,Single Vision,1.67,Hard Coat,0.25,-1.75,3,5,5,Inhouse
309,Single Vision,1.56,Blue Cut,-2.5,-0.5,4,11,5,Inhouse
310,Progressive,1.61,Photochromic,-6.0,-1.5,8,9,5,Inhouse
311,Single Vision,1.67,Photochromic,-4.75,-0.25,6,3,5,Inhouse
312,Progressive,1.74,Photochromic,-0.25,0.0,5,3,5,Inhouse
313,Progressive,1.67,Anti-Glare,-0.75,0.0,0,2,5,Vendor
314,Progressive,1.56,Blue Cut,0.75,0.0,6,6,5,Inhouse
315,Single Vision,1.74,Hard Coat,-2.75,-0.25,10,8,5,Inhouse
316,Progressive,1.56,Photochromic,-1.75,-0.5,12,12,5,Inhouse
317,Single Vision,1.74,Hard Coat,-3.0,-0.25,7,6,5,Inhouse
318,Progressive,1.56,Anti-Glare,-1.5,0.0,6,7,5,Inhouse
319,Single Vision,1.61,Blue Cut,0.25,-2.25,3,14,5,Inhouse
320,Bifocal,1.56,Anti-Glare,-4.25,0.0,6,8,5,Inhouse
321,Single Vision,1.56,Photochromic,1.5,-0.5,6,3,5,Inhouse
322,Single Vision,1.61,Photochromic,-1.0,0.0,9,5,5,Inhouse
323,Bifocal,1.74,Photochromic,1.0,-2.25,9,11,5,Inhouse
324,Bifocal,1.67,Photochromic,-2.5,-0.5,0,1,5,Vendor
325,Single Vision,1.67,Hard Coat,-2.25,-0.5,6,8,5,Inhouse
326,Single Vision,1.56,Anti-Glare,1.0,-2.25,4,11,5,Inhouse
327,Single Vision,1.61,Blue Cut,-0.75,-1.25,7,8,5,Inhouse
328,Single Vision,1.56,Anti-Glare,1.75,-0.75,6,11,5,Inhouse
329,Single Vision,1.61,Anti-Glare,-5.0,-1.25,12,8,5,Inhouse
330,Bifocal,1.56,Anti-Glare,-4.5,-3.0,8,6,5,Inhouse
331,Single Vision,1.56,Photochromic,-0.25,0.0,12,5,5,Inhouse
332,Single Vision,1.74,Photochromic,-1.0,-1.25,11,11,5,Inhouse
333,Single Vision,1.67,Hard Coat,-2.0,-2.0,6,7,5,Inhouse
334,Bifocal,1.61,Blue Cut,2.25,-1.75,7,5,5,Inhouse
335,Single Vision,1.67,Photochromic,0.25,-1.0,0,4,5,Vendor
336,Single Vision,1.56,Anti-Glare,-4.0,0.0,7,7,5,Inhouse
337,Progressive,1.67,Anti-Glare,-0.5,-0.75,12,6,5,Inhouse
338,Single Vision,1.74,Hard Coat,-0.75,-0.25,10,8,5,Inhouse
339,Progressive,1.61,Anti-Glare,-0.5,-0.25,9,10,5,Inhouse
340,Progressive,1.56,Hard Coat,-3.5,-0.75,2,4,5,Inhouse
341,Single Vision,1.61,Blue Cut,-2.75,0.0,4,14,5,Inhouse
342,Single Vision,1.67,Photochromic,-3.0,-0.75,6,3,5,Inhouse
343,Single Vision,1.56,Photochromic,0.25,-1.5,12,3,5,Inhouse
344,Single Vision,1.67,Photochromic,-2.0,-0.75,3,9,5,Inhouse
345,Single Vision,1.67,Photochromic,-2.5,-3.25,4,8,5,Inhouse
